	BC-456	BC-457	BC-458	BC-459	BC-460	BC-461	BC-464	BC-465	BC-466	BC-467	BC-468	BC-469	BC-470	BC-471	BC-472	BC-473	BC-474	BC-475	BC-476	BC-477
A6B242	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A6B243	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000000000000000000203662674543845	1
A6B244	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0324133230702601	1	1	1	1	0.00000000000000000000000263995569780916	1
A6B245	1	0.304516787308405	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A6B246	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A6B247	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A7B236	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0798025698349207	1	1
A7B237	1	1	0.0000000000000805558662253541	1	1	0.00000000000000000802271771025604	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A7B238	1	1	0.556084213826383	1	1	0.00200353738735215	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A7B239	1	1	1	1	1	0.0312050441030194	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A7B240	1	1	0.265408859152809	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A7B241	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A7B242	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A7B243	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A7B244	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A7B245	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A7B246	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A7B247	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A8B236	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A8B237	1	1	0.00165393529591311	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A8B238	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A8B239	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A8B240	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A8B241	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0000000000000000000000342638151964905	1	1	1
A8B242	1	1	1	1	1	1	1	1	1	0.618244008281174	1	1	1	1	1	1	0.00000000000000000000101602958979086	1	1	1
A8B243	1	1	1	1	1	1	1	1	1	0.0195939911387177	1	1	1	1	1	1	0.0000000000000000000190301992750624	1	1	1
A8B244	1	1	1	1	0.000979120039652169	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A8B245	1	1	1	1	0.00169233522007608	1	0.0000015032410276721	1	1	0.000554050073927299	1	1	1	1	1	1	1	1	1	1
A8B246	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A8B247	1	1	1	1	0.000000000000000000000134832879448494	1	0.0000000000000000000000000000000000000748761497288508	1	1	0.000000000000000000819343542047348	1	1	1	0.00000000031070711099169	1	0.714965417776778	1	1	1	1
A9B236	1	1	1	1	1	1	1	1	1	1	1	1	0.388580397383586	1	1	1	1	1	1	1
A9B237	1	1	1	1	1	0.182710072385043	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A9B238	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A9B239	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A9B240	1	1	1	1	0.944833994502313	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A9B241	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A9B242	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A9B243	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A9B244	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A9B245	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A9B246	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0998547861559711	1	1
A9B247	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A18B224	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A18B225	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A18B226	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A18B227	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A18B228	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A18B229	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A18B230	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A18B231	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A18B232	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A18B233	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A18B234	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A18B235	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A19B224	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A19B225	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A19B226	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A19B227	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A19B228	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A19B229	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A19B230	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A19B231	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A19B232	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A19B233	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A19B234	1	1	1	0.265408859152809	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A19B235	1	1	1	0.00000000000000860248448861324	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A20B224	1	1	1	0.0000000656605478736853	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A20B225	1	1	1	0.0000415918468323505	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A20B226	1	1	1	0.0562633677240002	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A20B227	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A20B228	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A20B229	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A20B230	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A20B231	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A20B232	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A20B233	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A20B234	1	1	1	1	1	1	1	1	1	1	1	1	0.900806834361652	1	1	0.38568219671769	1	1	1	1
A20B235	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A21B224	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A21B225	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A21B226	0.682527347614978	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A21B227	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A21B228	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A21B229	1	1	1	1	1	1	1	1	1	0.0000000000000000000217073225784264	1	1	0.900806834361652	1	1	1	1	1	1	1
A21B230	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A21B231	1	1	1	1	1	1	1	1	1	0.177460904306229	1	1	1	1	1	1	1	1	1	1
A21B232	1	1	1	1	1	1	1	1	1	0.618244008281174	0.00000000000000151631893140191	1	1	1	1	1	1	1	1	1
A21B233	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A21B234	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A21B235	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A22B224	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A22B225	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A22B226	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A22B227	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A22B228	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A22B229	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A22B230	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A22B231	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A22B232	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A22B233	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A22B234	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A22B235	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A23B224	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
