	BC-456	BC-457	BC-458	BC-459	BC-460	BC-461	BC-464	BC-465	BC-466	BC-467	BC-468	BC-469	BC-470	BC-471	BC-472	BC-473	BC-474	BC-475	BC-476	BC-477
A2B234	-0.60345985425814	-0.64001079069459	1.66354778485001	-0.571630099346182	-3.84203404177386	-3.81360091077015	-3.73045999590438	-3.82931621878568	0.0752423828166144	-3.79963311246338	-0.499042782663603	0.241320234831208	-3.85242075416985	-4.03547046720097	-0.750965897185062	0.595493193642725	-3.75227641946055	-3.83502578119337	0.370770006931394	6.66958092647771
A2B235	-2.6471247113527	1.45647522465117	-2.57472768666884	-2.64042516719642	-2.66362683874212	1.53787029751005	-2.56299652198246	-2.65211820705258	-2.70307077126581	-2.6252951088778	0.675249709423488	-2.50291282512589	0.464761055082842	-2.83981718739962	-2.68180664141933	1.77883696008915	0.887555857652926	1.44975519655927	-2.63612004388468	0.596846493917075
A3B224	-4.07015424784572	-0.884813953290367	-3.98721793333663	-4.0609850318633	-4.08693954846353	-0.804693308878198	-3.97400185318724	-4.07407162402638	-1.08197033299873	-0.745460572817546	-0.743436936556838	-3.90609545197114	-0.0456937463460795	-4.28250149242509	-4.10891080760445	-0.203248476192608	-3.99609337732711	-0.891428281469917	-4.05616363982669	-4.06287173519995
A3B225	-2.6471247113527	-2.65710621199168	0.929551265521114	1.52481102272593	0.503172589920037	0.614226932293338	-2.56433377918567	7.58714202961261	-2.70307077126581	0.67193914422143	-2.62621080189381	-2.50424921518062	2.64920831655502	-2.84115786358222	-2.68180664141933	1.77749775785691	-2.58395020284427	-2.65862224143019	-2.63745829154127	-2.6434485895215
A3B226	-4.46507791203442	-4.47253980609739	-0.874577551849561	4.30456075191092	-4.48145741196128	-4.4522530493821	-4.36676525576176	5.46762810948509	-4.52846727951265	1.0602566782182	-1.13729734403954	-4.2977347693864	-4.49440174947439	-4.6797464492296	-4.50441252989518	-4.53585531615443	-4.3892110292224	-4.47426050375612	-4.45021714673651	-4.4570273147612
A3B227	-1.86092265641858	-1.86891203538294	-1.79924343594024	1.38907316550013	-1.87569735501316	1.3999621619579	-1.78920426348756	5.93534111007077	-1.90929632996789	-1.84265099962853	-1.84228751310185	-1.73797305047795	-1.88323765428008	-2.02910056712229	-1.89088045545744	-1.91730381732503	-1.80599776779149	-1.87022051642019	-1.85197105368973	1.38182407334107
A3B228	1.35948350452523	-1.86753153944873	-1.79786408944419	-1.85430009192529	-1.8743167521945	-1.85213325708802	-1.78782509080898	6.03936887185387	-1.90929632996789	1.45730143277324	1.45921496653812	-1.73659479930471	2.17011427407594	-2.02771776080329	2.1343343334461	2.02138110189873	-1.80461830555152	-1.86883999980705	-1.85059082842844	-1.85575237597967
A3B229	0	0	3.50561637295393	0	0.00000000000000128137060152597	3.25347566917962	0	4.6820210734691	-0.00000000000000128137060152597	3.29857235841398	6.61985170090745	0	0	0	3.1112065438889	0.00000000000000256274120305193	0	0.00000000000000128137060152597	0	3.23895675763403
A3B230	-1.86147904298103	-1.86809288868343	-1.79842496368989	-1.85486135399237	-1.87487814559831	-1.85269450474812	-1.78838589322814	-1.86494377389143	-1.9098530181866	-1.84183210051065	-1.84146861746595	-1.73715522093524	-1.88379418214904	-2.02828006480884	-1.8914370308682	1.11204670001178	-1.8051792276262	1.31901909980932	-1.85115206581029	-1.85631364768185
A3B231	-2.64820330000746	-2.65551758109528	-2.57447774543027	-2.6401750730176	-2.66337669277545	-2.63766037732815	-2.562746609072	-2.65186808663321	0.346499368806536	0.673527309330358	4.53120607712631	-2.50266306241156	-2.67404824584231	-2.83956668245021	-2.68288558495676	-2.71144130238075	-2.58236271306524	-2.65703358770658	-2.63586995943991	2.07641022563667
